category1	category2	name	content	price	sale_ratio	main_img	content_img							
욕실용품	수면	닥터홍 	화이트케어 미백치약 100g 2개	17000 	10 	닥터홍 화이트케어 치약	상품정보 화이트케어 미백치약 100g							
욕실용품	청소	홈스타 맥스 	세면대 배수관 클리너 230ml 	13000 	10 	세면대 배수관 클리너	상품정보 홈스타 맥스 세면대 배수관 클리너 230ml							
욕실용품	청소	데톨 	포밍 핸드워시 애플블라썸 250ml 	6390 	10 	데톨 포밍 핸드워시 애플블라썸	상품정보 데톨 핸드워시 애플 블로썸 250ml							
욕실용품	수면	순수연구소	1+1 딥 포어 클렌징폼 150ml 2개	23320 	7 	순수연구소 모공맑음	상품정보 모공맑음 딥 포어 클렌징폼 150ml							
욕실용품	청소	자연봄	좁쌀여드름 천연비누 100g 	10000 	10 	자연봄 좁쌀여드름 오일 천연비누 100g	상품정보 좁쌀여드름 자연봄 천연비누 100g							
디퓨저/탈취제	옷관리	P&G	페브리즈 섬유탈취제 상쾌한 향 370ml 2개	12000 	10 	페브리즈 섬유탈취제 상쾌한 향 370ml 2개	상품정보 페브리즈 섬유탈취제 상쾌한 향 370ml 2개							
디퓨저/탈취제	옷관리	디노보 	굿베딩 섬유탈취제 500ml 2개	30800 	7 	굿베딩 섬유탈취제 500ml 2개	상품정보 굿베딩 섬유탈취제 500ml 2개							
디퓨저/탈취제	인테리어	아르망 	프리저브드 플라워 디퓨저 로즈마리 향 100ml 	24000 	7 	프리저브드 플라워 디퓨저 로즈마리 향 100ml 1개	상품정보 프리저브드 플라워 디퓨저 로즈마리 향 100ml 1개							
디퓨저/탈취제	인테리어	P&G	부착형 화장실 용 본체 상쾌한 하늘 향 5.5ml 	13500 	10 	부착형 화장실 용 본체 상쾌한 하늘 향 5.5ml 1개	상품정보 부착형 화장실 용 본체 5.5ml							
디퓨저/탈취제	인테리어	로드로즈	스위트 가든 플라워 디퓨저 레몬라벤더 향 100ml 	19900 	10 	스위트 가든 플라워 디퓨저 레몬라벤더 향 100ml 1개	상품정보 스위트 가든 플라워 디퓨저 레몬라벤더 향 100ml 1개							
디퓨저/탈취제	수면	아로마랩 	"27허브오일 (세탁오일, 싱크대오일, 욕실오일 용) 5ml "	15000 	10 	"27허브오일(세탁오일, 싱크대오일, 욕실오일 용) 5ml 1개"	상품정보 27허브오일 5ml 1개							
디퓨저/탈취제	인테리어	로드로즈	라벤더 디퓨저 하루 복숭아 향 100ml 	18900 	10 	라벤더 디퓨저 하루 복숭아 향 100ml 1개	상품정보 라벤더 디퓨저 하루 복숭아 향 100ml 1개							
휴지/물티슈	청소	크리넥스	디럭스 신수성 미용티슈 250매 6개	21010 	7 	크리넥스 디럭스 신수성 미용티슈 250매 6개	상품정보 크리넥스 디럭스 신수성 미용티슈 250매							
휴지/물티슈	청소	깨끗한나라	소프티 각티슈 250매 6개	18900 	10 	소프티 각티슈 250매 6개	상품정보 깨끗한나라 소프티 각티슈 250매							
휴지/물티슈	청소	미엘물티슈 	베이직 물티슈 클래식 100매 20팩	20900 	7 	베이직 물티슈 클래식 100매 20팩	상품정보 미엘 베이직 물티슈 클래식 100매							
휴지/물티슈	청소	베베숲	시그니쳐 물티슈 캡형 70매 10팩	19900 	10 	베베숲 시그니쳐 물티슈 캡형 70매 10팩	상품정보 베베숲 시그니쳐 물티슈 캡형 70매							
휴지/물티슈	청소	그린터치	물티슈 캡형 100매 10개	10850 	10 	물티슈 캡형 100매 10개	상품정보 그린터치 물티슈 100매							
휴지/물티슈		크리넥스 	데코앤소프트 3겹 프리미엄화장지 30m 24롤	18300 	10 	데코앤소프트 3겹 프리미엄화장지 30m 24롤	상품정보 데코앤소프트  3겹 프리미엄 화장지 24롤							
휴지/물티슈		크리넥스 	도톰한 3겹 카카오 화장지 27m 12롤	13410 	10 	도톰한 3겹 카카오 화장지 27m 12롤	상품정보 크리넥스 도톰한 카카오프렌즈 3겹 27M 6롤							
반려동물용품	청소	댕냥이	[휴대용] 반려동물 세정용 캡형 물티슈 30매 10개	18000 	10 	요요쉬 반려동물 세정용 물티슈 휴대용	상품정보 반려동물 세정용 캡형 물티슈 30매							
반려동물용품	청소	etipet	눈귀입청결 강아지세수 물티슈 80매 5개	17620 	10 	눈귀입청결 강아지세수 물티슈	상품정보 눈귀입청결 강아지세수 물티슈 80매							
반려동물용품		하림펫푸드 	더리얼 캣 고양이사료 닭고기 키튼 1kg 	20500 	7 	더리얼 캣 밥이보약 고양이사료	상품정보 하림 더리얼 캣 크런치 닭고기 키튼 1Kg							
반려동물용품		시리우스 윌	[댕댕이] 프리 바이오틱스 연어 1kg 	15900 	10 	시리우스 윌 프리바이오틱스 연어	상품정보 시리우스 윌 프리바이오틱스 연어 1kg							
반려동물용품		감자와 호빵이	비바텍 럭스펫 반려동물 칫솔 세트 퍼피 1개 스몰 1개 	25500 	7 	비바텍 럭스펫 3kg이하 반려동물 칫솔	상품정보 비바텍 럭스펫 반려동물 칫솔 세트 							
반려동물용품		Virbac(버박)	C.E.T 강아지 고양이 치약 닭고기맛 70g 	8000 	10 	버박 C.E.T 강아지 고양이 치약 닭고기맛	상품정보 CET 강아지 고양이 치약 닭고기맛							
반려동물용품	청소	펫 에이드	티슈 내장형 배변봉투 퀵백 30매 3개	9310 	10 	원매너 티슈내장형 배변봉투	상품정보 원매너 티슈내장형 배변봉투 퀵백 30매							
